,rmsd_min_0,rmsd_min_0_pdb
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/61_sb_4/134571/output_4/log.csv,0.1714958532531361,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/61_sb_4/134571/output_4/pdbs/7.pdb
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/61_sb_4/134571/output_50/log.csv,0.2027077846105097,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/61_sb_4/134571/output_50/pdbs/3.pdb
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/61_sb_4/134571/output_10/log.csv,0.202478272078842,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/61_sb_4/134571/output_10/pdbs/168.pdb
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/61_sb_4/134571/output_28/log.csv,0.201830260368819,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/61_sb_4/134571/output_28/pdbs/2.pdb
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/61_sb_4/134571/output_45/log.csv,0.1998773084422072,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/61_sb_4/134571/output_45/pdbs/3.pdb
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/61_sb_4/134571/output_36/log.csv,0.1880513176404793,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/61_sb_4/134571/output_36/pdbs/5.pdb
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/61_sb_4/134571/output_18/log.csv,0.2034539181101928,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/61_sb_4/134571/output_18/pdbs/3.pdb
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/61_sb_4/134571/output_41/log.csv,0.195455811004206,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/61_sb_4/134571/output_41/pdbs/108.pdb
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/61_sb_4/134571/output_51/log.csv,0.1813742629469191,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/61_sb_4/134571/output_51/pdbs/100.pdb
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/61_sb_4/134571/output_37/log.csv,0.1964342612299907,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/61_sb_4/134571/output_37/pdbs/2.pdb
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/61_sb_4/134571/output_32/log.csv,0.1921485011745723,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/61_sb_4/134571/output_32/pdbs/3.pdb
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/61_sb_4/134571/output_46/log.csv,0.1913206703877453,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/61_sb_4/134571/output_46/pdbs/5.pdb
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/61_sb_4/134571/output_33/log.csv,0.1921401189709608,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/61_sb_4/134571/output_33/pdbs/3.pdb
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/61_sb_4/134571/output_48/log.csv,0.1977249247482851,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/61_sb_4/134571/output_48/pdbs/3.pdb
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/61_sb_4/134571/output_52/log.csv,0.1872561238933339,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/61_sb_4/134571/output_52/pdbs/399.pdb
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/61_sb_4/134571/output_38/log.csv,0.2051540660843999,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/61_sb_4/134571/output_38/pdbs/2.pdb
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/61_sb_4/134571/output_43/log.csv,0.189607271022355,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/61_sb_4/134571/output_43/pdbs/3.pdb
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/61_sb_4/134571/output_8/log.csv,0.1950946940665378,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/61_sb_4/134571/output_8/pdbs/177.pdb
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/61_sb_4/134571/output_54/log.csv,0.1962868490544158,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/61_sb_4/134571/output_54/pdbs/3.pdb
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/61_sb_4/134571/output_42/log.csv,0.2022050507425781,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/61_sb_4/134571/output_42/pdbs/3.pdb
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/61_sb_4/134571/output_57/log.csv,0.1898900591858291,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/61_sb_4/134571/output_57/pdbs/3.pdb
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/61_sb_4/134571/output_14/log.csv,0.1997314705088862,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/61_sb_4/134571/output_14/pdbs/308.pdb
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/61_sb_4/134571/output_24/log.csv,0.1974069091477,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/61_sb_4/134571/output_24/pdbs/263.pdb
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/61_sb_4/134571/output_3/log.csv,0.1938158268940028,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/61_sb_4/134571/output_3/pdbs/472.pdb
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/61_sb_4/134571/output_31/log.csv,0.1679974030259209,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/61_sb_4/134571/output_31/pdbs/464.pdb
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/61_sb_4/134571/output_49/log.csv,0.2004673580893804,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/61_sb_4/134571/output_49/pdbs/58.pdb
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/61_sb_4/134571/output_56/log.csv,0.1957390665699212,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/61_sb_4/134571/output_56/pdbs/4.pdb
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/61_sb_4/134571/output_20/log.csv,0.1952562954881858,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/61_sb_4/134571/output_20/pdbs/3.pdb
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/61_sb_4/134571/output_34/log.csv,0.2027855543628259,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/61_sb_4/134571/output_34/pdbs/2.pdb
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/61_sb_4/134571/output_1/log.csv,0.1835946077321424,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/61_sb_4/134571/output_1/pdbs/15.pdb
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/61_sb_4/134571/output_27/log.csv,0.1696605370425103,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/61_sb_4/134571/output_27/pdbs/264.pdb
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/61_sb_4/134571/output_44/log.csv,0.1916619444810912,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/61_sb_4/134571/output_44/pdbs/3.pdb
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/61_sb_4/134571/output_39/log.csv,0.2021142387610643,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/61_sb_4/134571/output_39/pdbs/3.pdb
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/61_sb_4/134571/output_30/log.csv,0.1967802253791332,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/61_sb_4/134571/output_30/pdbs/26.pdb
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/61_sb_4/134571/output_9/log.csv,0.1992068020529128,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/61_sb_4/134571/output_9/pdbs/3.pdb
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/61_sb_4/134571/output_23/log.csv,0.1984508775512181,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/61_sb_4/134571/output_23/pdbs/27.pdb
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/61_sb_4/134571/output_16/log.csv,0.1764782172421968,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/61_sb_4/134571/output_16/pdbs/310.pdb
