,r_free_7mhf,xray_7mhf,r_free_7mhg,xray_7mhg,r_free_7mhh,xray_7mhh,r_free_7mhi,xray_7mhi,r_free_7mhj,xray_7mhj,r_free_7mhk,xray_7mhk,pdb,ff,w_0_7mhf,w_0_7mhg,w_0_7mhh,w_0_7mhi,w_0_7mhj,w_0_7mhk
0,0.3421409504223047,5.674128943979378,,,,,,,,,,,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/166_N1/0/output_436/pdbs/274.pdb,2399.217973272997,1.0,,,,,
1,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,
6,0.338797133059401,5.671281161873815,0.3153704575252844,5.571124736701954,,,,,,,,,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/166_N1/6/output_61/pdbs/210.pdb,4969.951881388701,1.0,1.0,,,,
7,0.3636694880977385,5.738740880846442,,,0.3218229645518632,6.245882764254573,,,,,,,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/166_N1/7/output_167/pdbs/275.pdb,3327.0910902278706,1.0,,1.0,,,
8,0.3640297421658667,5.745620384788811,,,,,0.3221789920054288,5.775901329774974,,,,,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/166_N1/8/output_406/pdbs/214.pdb,3467.481206548905,1.0,,,1.0,,
9,0.3703214104034716,5.756372074001092,,,,,,,0.3322193674990692,5.893436100805265,,,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/166_N1/9/output_337/pdbs/227.pdb,3344.620138568648,1.0,,,,1.0,
10,0.3571162235366043,5.727596269884602,,,,,,,,,0.3316917016049142,5.81528783495432,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/166_N1/10/output_362/pdbs/268.pdb,3574.4435313856816,1.0,,,,,1.0
11,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,
21,0.3381830050992497,5.687534175380111,0.313551297668685,5.584623551541086,0.3248065077546984,6.287512702863991,,,,,,,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/166_N1/21/output_211/pdbs/283.pdb,6135.425761234658,1.0,1.0,1.0,,,
22,0.3490798160572492,5.696115657750249,0.3087577425245663,5.577158910521479,,,0.3151362835114312,5.79100933745851,,,,,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/166_N1/22/output_238/pdbs/126.pdb,6782.58241273434,1.0,1.0,,1.0,,
23,0.3482703240654963,5.695994093392296,0.3088992655576029,5.583627595515036,,,,,0.3278748080935463,5.913654131532795,,,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/166_N1/23/output_85/pdbs/264.pdb,6308.7996573666405,1.0,1.0,,,1.0,
24,0.3404768853891764,5.68544399400738,0.3106181015558485,5.56227643189163,,,,,,,0.3124117009552198,5.816502399437878,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/166_N1/24/output_13/pdbs/228.pdb,6896.896672307196,1.0,1.0,,,,1.0
25,0.3765762077540422,5.786303939988471,,,0.2680535883723503,6.111176068531071,0.2647361679136812,5.681968919558801,,,,,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/166_N1/25/output_374/pdbs/294.pdb,6989.754700022587,1.0,,1.0,1.0,,
26,0.3805299677062912,5.7948873692182135,,,0.2743569556412407,6.122158152327085,,,0.2909463492426107,5.806978714732234,,,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/166_N1/26/output_207/pdbs/255.pdb,6892.125083336051,1.0,,1.0,,1.0,
27,0.3637304468550355,5.7665341304322215,,,0.2824627372238924,6.164428737884308,,,,,0.2827869614083161,5.7538370249737065,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/166_N1/27/output_450/pdbs/125.pdb,6205.465780163895,1.0,,1.0,,,1.0
28,0.3802398121496418,5.797991722316441,,,,,0.2639773985179212,5.674564148748951,0.2841546958388544,5.788638772165639,,,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/166_N1/28/output_339/pdbs/234.pdb,6884.140360827011,1.0,,,1.0,1.0,
29,0.3727885664006352,5.777097481212709,,,,,0.285975845114115,5.704975414735917,,,0.2827663856621363,5.733552988146989,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/166_N1/29/output_291/pdbs/169.pdb,6611.666640837857,1.0,,,1.0,,1.0
30,0.3756351906910545,5.779665773983549,,,,,,,0.2976350976808381,5.8364320429056615,0.2929416989132605,5.752354597159747,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/166_N1/30/output_243/pdbs/247.pdb,6051.277661529157,1.0,,,,1.0,1.0
31,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,,,,,,
41,0.3246810033758046,6.305292239101587,0.3066826894145328,6.252633051920095,0.2867647237270372,6.167929922582252,0.2714795914663888,5.871539609412143,,,,,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/166_N1/41/output_322/pdbs/95.pdb,10890.172281415003,1.0,1.0,1.0,1.0,,
42,0.3514215169933947,5.729500489331876,0.3215650055480841,5.6234725833730375,0.2811119392192814,6.166624006769359,,,0.2967026164342521,5.837711714235485,,,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/166_N1/42/output_267/pdbs/191.pdb,9889.119837812848,1.0,1.0,1.0,,1.0,
43,0.3452923821049556,5.710335699596632,0.3131855526297582,5.593773052295939,0.2913634700915684,6.206995142658708,,,,,0.2842913592143198,5.764418222072765,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/166_N1/43/output_16/pdbs/150.pdb,10122.903373489738,1.0,1.0,1.0,,,1.0
44,0.3542607260942036,5.732647545488375,0.3219541986029592,5.611713482557927,,,0.2823137200355369,5.709418154716798,0.2853195298678723,5.8268431638825655,,,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/166_N1/44/output_123/pdbs/268.pdb,10541.057477649932,1.0,1.0,,1.0,1.0,
45,0.3534055765781966,5.718118526361474,0.3112623107591768,5.588185217271399,,,0.2855500364394644,5.729383448017589,,,0.2878986065805468,5.74451308956145,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/166_N1/45/output_59/pdbs/173.pdb,10525.768251865606,1.0,1.0,,1.0,,1.0
46,0.3528662952300916,5.717367571490166,0.3137000135078263,5.593103615321881,,,,,0.3036194983664749,5.86331096374256,0.2894217671789171,5.759406691288141,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/166_N1/46/output_339/pdbs/105.pdb,9462.738491387592,1.0,1.0,,,1.0,1.0
47,0.3823199116927119,5.807769390359905,,,0.2548727861347316,6.054268314824483,0.2447920891526962,5.620273144426764,0.2653125022153964,5.746305479223761,,,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/166_N1/47/output_83/pdbs/129.pdb,14965.99663613222,1.0,,1.0,1.0,1.0,
48,0.3681977658059817,5.789635021044276,,,0.2652028523702069,6.081453590206583,0.249061514964144,5.639661490919544,,,0.2630221884625658,5.707061778665239,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/166_N1/48/output_24/pdbs/236.pdb,12202.438105546138,1.0,,1.0,1.0,,1.0
49,0.3557570169354453,6.412898872844676,,,0.2659547498594065,6.108689416971498,,,0.2732117062843448,5.793367611942711,0.2829916911601111,5.816807440258695,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/166_N1/49/output_105/pdbs/9.pdb,10511.352918178549,1.0,,1.0,,1.0,1.0
50,0.3791470724610845,5.800976609237244,,,,,0.2530844648978952,5.643930545384805,0.270280740915318,5.772280565611663,0.2765539682451108,5.723354616179618,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/166_N1/50/output_464/pdbs/14.pdb,12148.010810177544,1.0,,,1.0,1.0,1.0
51,,,,,,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,,,,,,
56,0.3583538030828478,5.74845174682408,0.3357037327768904,5.641081235119703,0.2616979366904883,6.07905185974354,0.2410684645291658,5.638958279447708,0.264098568630829,5.76136909331101,,,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/166_N1/56/output_158/pdbs/122.pdb,21109.910376911677,1.0,1.0,1.0,1.0,1.0,
57,0.3311296235648886,6.3215751693703375,0.2998427424358197,6.25748084410845,0.26342985681796,6.1162092399009484,0.249938953625185,5.831123501504797,,,0.2650494337058697,5.77543210729783,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/166_N1/57/output_464/pdbs/14.pdb,18694.099080063454,1.0,1.0,1.0,1.0,,1.0
58,0.3328506012365548,6.329372165500403,0.2980154428172141,6.264206708880699,0.2697991650869163,6.124289310467142,,,0.2792473958374426,5.808653480873568,0.2752850090738431,5.794476744097584,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/166_N1/58/output_176/pdbs/16.pdb,16333.912310940728,1.0,1.0,1.0,,1.0,1.0
59,0.3619492000378604,5.744683505568935,0.3249728305624249,5.617289783991878,,,0.2560518577515205,5.654964418165908,0.2712677885860697,5.785455661031297,0.2608276664684664,5.705261389182062,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/166_N1/59/output_82/pdbs/112.pdb,18171.31318733301,1.0,1.0,,1.0,1.0,1.0
60,0.3580859620534536,6.41511173405441,,,0.2437542713007131,6.009321180583013,0.2211881252048,5.727714602188057,0.2512593134839089,5.722721523524544,0.2579137877248639,5.761851189361758,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/166_N1/60/output_461/pdbs/170.pdb,24581.55674805392,1.0,,1.0,1.0,1.0,1.0
61,,,,,,,,,,,,,,,,,,,,
