,r_free_7mhf,xray_7mhf,r_free_7mhg,xray_7mhg,r_free_7mhh,xray_7mhh,r_free_7mhi,xray_7mhi,r_free_7mhj,xray_7mhj,r_free_7mhk,xray_7mhk,pdb,ff,w_0_7mhf,w_1_7mhf,w_2_7mhf,w_3_7mhf,w_0_7mhg,w_1_7mhg,w_2_7mhg,w_3_7mhg,w_0_7mhh,w_1_7mhh,w_2_7mhh,w_3_7mhh,w_0_7mhi,w_1_7mhi,w_2_7mhi,w_3_7mhi,w_0_7mhj,w_1_7mhj,w_2_7mhj,w_3_7mhj,w_0_7mhk,w_1_7mhk,w_2_7mhk,w_3_7mhk
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,0.2973742282011501,5.255465105691695,,,,,,,,,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/168_N4/1/output_322/pdbs/93.pdb,36889.50308236649,,,,,0.2975518647433775,0.2512761890341,0.3533235395052064,0.0978484067173161,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.3197721953588524,5.2834157922466325,0.2783447436692864,5.225363024590218,,,,,,,,,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/168_N4/6/output_74/pdbs/160.pdb,43249.6700909557,0.3284078827965289,0.2606942813414692,0.3425267846279705,0.0683710512340313,0.2443933099817853,0.3032077668900522,0.3520982232667402,0.1003006998614221,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,0.3033479202924678,5.282341461293527,0.3197454657591353,5.899565246385894,,,,,,,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/168_N4/11/output_202/pdbs/63.pdb,50004.87710799194,,,,,0.4665230165343439,0.314252301511554,0.1373063303316074,0.0819183516224947,0.2008561899215796,0.2374908029239322,0.4690163213628545,0.0926366857916336,,,,,,,,,,,,
12,,,0.299500494418462,5.297002354084606,,,0.2948620882132714,5.421083606538115,,,,,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/168_N4/12/output_326/pdbs/65.pdb,45118.93641583271,,,,,0.1729291188435782,0.4254422621154352,0.3265493957299245,0.0750792233110621,,,,,0.333505544944889,0.235714930872326,0.3040794576871471,0.1267000664956378,,,,,,,,
13,,,0.3023090829081477,5.283539332786405,,,,,0.3253716279872136,5.535928567774251,,,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/168_N4/13/output_110/pdbs/127.pdb,48637.361095389904,,,,,0.3571951681422544,0.1091583728023984,0.4123500184923273,0.1212964405630199,,,,,,,,,0.3189432279158443,0.3538128353802376,0.1881229979547835,0.1391209387491344,,,,
14,,,0.2961796578839296,5.275169681056833,,,,,,,0.3121415345172872,5.440546697979564,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/168_N4/14/output_204/pdbs/79.pdb,48111.004108830144,,,,,0.388861438031932,0.3515937199591564,0.1614435923377398,0.0981012496711718,,,,,,,,,,,,,0.1936604464018754,0.3299989970348981,0.3585483946493102,0.1177921619139161
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0.3135902251741237,5.270177543993057,0.2809059040894258,5.2154002697978665,0.3012626461352494,5.88965026239013,,,,,,,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/168_N4/21/output_399/pdbs/228.pdb,57873.45897372616,0.4217515684114272,0.1761747653213222,0.3466404384055188,0.0554332278617317,0.3246000058725066,0.1843040653392499,0.3863804820140538,0.1047154467741897,0.2082095964417618,0.4258268530206002,0.2370873184942416,0.1288762320433963,,,,,,,,,,,,
22,0.317679438426168,5.279648147237261,0.2754176511988253,5.20790977314098,,,0.3054762236158198,5.428335490790001,,,,,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/168_N4/22/output_133/pdbs/182.pdb,56964.99059590326,0.3442043551174053,0.1862435536476908,0.4072522479647629,0.0622998432701409,0.3683168283304685,0.192139534430917,0.3277386066461116,0.1118050305925028,,,,,0.2631153926542767,0.3707869025180081,0.2139020317834824,0.1521956730442327,,,,,,,,
23,0.309788369751804,5.27125479760073,0.2777779058895508,5.235158458832414,,,,,0.3162663891945442,5.530144388004346,,,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/168_N4/23/output_124/pdbs/91.pdb,59700.83221650733,0.095457262502522,0.3957530734292728,0.4182499561740711,0.0905397078941341,0.1573820862484173,0.3711821119039514,0.3605759227352005,0.1108598791124307,,,,,,,,,0.4070979436581988,0.184135616233818,0.2607762729954816,0.1479901671125015,,,,
24,0.3260362593090902,5.307547394269587,0.2687577766725684,5.227952911870849,,,,,,,0.3190402674311617,5.4625818187842246,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/168_N4/24/output_42/pdbs/110.pdb,55811.55427432738,0.3436011488597245,0.2054654515063907,0.3896197704536056,0.0613136291802791,0.4079599945524517,0.2404991120844618,0.2534657640276971,0.0980751293353893,,,,,,,,,,,,,0.2518383562141514,0.3757394861285189,0.2312032063110034,0.1412189513463263
25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,,0.3060060657387887,5.290189700418275,0.3719249754997107,6.041763586027891,0.2608705289702732,5.3484260366874965,,,,,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/168_N4/31/output_91/pdbs/160.pdb,67705.80064344157,,,,,0.4950154208729972,0.1662731256990221,0.2279572466157471,0.1107542068122334,0.1416047175259776,0.3662397868296217,0.3804004117201917,0.1117550839242089,0.1847290753417566,0.3420003534782192,0.3652800494092615,0.1079905217707626,,,,,,,,
32,,,0.3111567540325676,5.32226548666989,0.2544691366171098,5.760682290472611,,,0.2626732414200886,5.419876019305072,,,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/168_N4/32/output_282/pdbs/66.pdb,65709.91261162653,,,,,0.2041741104123129,0.5066373797314131,0.1953465333894808,0.0938419764667931,0.3713697665337449,0.2121189936095886,0.2976117031189651,0.1188995367377013,,,,,0.363994127634107,0.1904425332294539,0.3414149931324323,0.1041483460040068,,,,
33,,,0.2998629535145265,5.290666368011853,0.2839007349930433,5.829494811911905,,,,,0.2756011700789693,5.357644460234525,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/168_N4/33/output_237/pdbs/75.pdb,64182.683156205705,,,,,0.4347855007442311,0.2001496549387407,0.2557987632585276,0.1092660810585005,0.1889867311905202,0.4165983697822193,0.2741556300818656,0.1202592689453948,,,,,,,,,0.2387191613195017,0.3595844324461038,0.2865391455255725,0.1151572607088219
34,,,0.3042036772075677,5.3059358350754415,,,0.245636044928239,5.269473000531701,0.2589896803986948,5.392042582841141,,,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/168_N4/34/output_397/pdbs/77.pdb,67735.56049494486,,,,,0.31322950060045,0.1112658901782864,0.4844451066745503,0.0910595025467132,,,,,0.3913958141237484,0.3008484519263811,0.1958163006091423,0.1119394333407281,0.3724093023710298,0.3403270684395656,0.1549945131864564,0.1322691160029481,,,,
35,,,0.2976951598733793,5.299767915575806,,,0.2657054619911323,5.348551416769482,,,0.2735206607988968,5.364930900235277,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/168_N4/35/output_350/pdbs/57.pdb,63103.37377304604,,,,,0.1201373202048332,0.5151060156113959,0.2731371917989517,0.0916194723848192,,,,,0.3514411994123954,0.1834108946121569,0.358002772026894,0.1071451339485534,,,,,0.2970278951498769,0.2106082824030367,0.3572657266466704,0.1350980958004159
36,,,0.2993619350744883,5.299547451619455,,,,,0.3087649814180317,5.538542087181684,0.3014715377261446,5.380385299881346,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/168_N4/36/output_271/pdbs/100.pdb,62980.71643861905,,,,,0.521369302407006,0.2040807192509154,0.1744897687835371,0.1000602095585415,,,,,,,,,0.1997876220547872,0.3547474934448167,0.3114504075037322,0.1340144769966639,0.2512124464802324,0.3310602433328702,0.2984284198814716,0.1192988903054257
