,state_id,job_id,w_xray_id,field,w_0_0,r_free_0,ff,pdb,r_free_1,w_1_0,w_xray,N
4,0.0,0.0,4.0,0.3484499858503302,1.0,0.3484499858503302,3225.625322166178,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/180_wxray_bench/N0_J0_W4/output_3/pdbs/261.pdb,,,0.5,1
15,0.0,1.0,4.0,0.2951681892385623,1.0,0.2951681892385623,7361.327036753054,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/180_wxray_bench/N0_J1_W4/output_0/pdbs/201.pdb,0.2795603511816117,,0.5,1
26,0.0,2.0,4.0,0.2105169390909907,1.0,0.2105169390909907,3978.867321672679,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/180_wxray_bench/N0_J2_W4/output_0/pdbs/298.pdb,,,0.5,1
37,0.0,3.0,4.0,0.1925852013032169,1.0,0.1925852013032169,7877.444868782864,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/180_wxray_bench/N0_J3_W4/output_0/pdbs/295.pdb,0.2279199387601417,,0.5,1
48,0.0,4.0,4.0,0.3198871948140976,1.0,0.3198871948140976,3151.8281982946423,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/180_wxray_bench/N0_J4_W4/output_2/pdbs/239.pdb,,,0.5,1
59,0.0,5.0,4.0,0.2740751954366379,1.0,0.2740751954366379,7087.357444176059,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/180_wxray_bench/N0_J5_W4/output_1/pdbs/266.pdb,0.2733648642055176,,0.5,1
70,0.0,6.0,4.0,0.3154254237129619,1.0,0.3154254237129619,3372.3775242307584,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/180_wxray_bench/N0_J6_W4/output_2/pdbs/214.pdb,,,0.5,1
81,0.0,7.0,4.0,0.2607426777130168,1.0,0.2607426777130168,7499.341277888009,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/180_wxray_bench/N0_J7_W4/output_2/pdbs/149.pdb,0.2601783526717042,,0.5,1
93,0.0,8.0,5.0,0.2788577077035984,1.0,0.2788577077035984,17647.372438735576,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/180_wxray_bench/N0_J8_W5/output_4/pdbs/215.pdb,,,1.0,1
102,0.0,9.0,3.0,0.2484439770497348,1.0,0.2484439770497348,3391.776787817937,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/180_wxray_bench/N0_J9_W3/output_2/pdbs/245.pdb,0.2637120525774522,,0.25,1
