,N,J,w_xray,r_free,w_0_0,ff,pdb,cif_0,r_free_1,cif_1,w_1_0
0,1.0,1.0,0.5,0.3486257372135853,1.0,1330.145530552748,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/186_w_xray_bench_ref_10000/4/output_2/pdbs/296.pdb,/wynton/home/sali/mhancock/xray/dev/29_synthetic_native_3/data/cifs/7mhf_30/0/0.cif,,,
1,1.0,1.0,0.5,0.2363549218943059,1.0,3981.376216125724,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/186_w_xray_bench_ref_10000/26/output_3/pdbs/185.pdb,/wynton/home/sali/mhancock/xray/dev/29_synthetic_native_3/data/cifs/7mhf_30/1/0.cif,,,
2,1.0,1.0,0.5,0.316354647340239,1.0,1722.9119877777114,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/186_w_xray_bench_ref_10000/48/output_2/pdbs/292.pdb,/wynton/home/sali/mhancock/xray/dev/29_synthetic_native_3/data/cifs/7mhf_30/2/0.cif,,,
3,1.0,1.0,0.5,0.3188990889629687,1.0,1858.6966873615224,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/186_w_xray_bench_ref_10000/70/output_2/pdbs/283.pdb,/wynton/home/sali/mhancock/xray/dev/29_synthetic_native_3/data/cifs/7mhf_30/3/0.cif,,,
4,1.0,1.0,0.5,0.2735820932782701,1.0,1969.0681305757864,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/186_w_xray_bench_ref_10000/92/output_4/pdbs/298.pdb,/wynton/home/sali/mhancock/xray/dev/29_synthetic_native_3/data/cifs/7mhf_30/4/0.cif,,,
5,1.0,1.0,0.5,0.2134487449454465,1.0,2706.0693568634324,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/186_w_xray_bench_ref_10000/114/output_1/pdbs/291.pdb,/wynton/home/sali/mhancock/xray/dev/29_synthetic_native_3/data/cifs/7mhf_30/5/0.cif,,,
6,1.0,1.0,0.5,0.3416338263767085,1.0,1812.8114639223045,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/186_w_xray_bench_ref_10000/136/output_1/pdbs/280.pdb,/wynton/home/sali/mhancock/xray/dev/29_synthetic_native_3/data/cifs/7mhf_30/6/0.cif,,,
7,1.0,1.0,1.0,0.2767310755570054,1.0,7106.037126943162,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/186_w_xray_bench_ref_10000/159/output_1/pdbs/268.pdb,/wynton/home/sali/mhancock/xray/dev/29_synthetic_native_3/data/cifs/7mhf_30/7/0.cif,,,
8,1.0,1.0,1.0,0.303815438716434,1.0,6475.51989731773,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/186_w_xray_bench_ref_10000/181/output_0/pdbs/284.pdb,/wynton/home/sali/mhancock/xray/dev/29_synthetic_native_3/data/cifs/7mhf_30/8/0.cif,,,
9,1.0,1.0,0.5,0.2259003043936799,1.0,2253.655907002621,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/186_w_xray_bench_ref_10000/202/output_1/pdbs/293.pdb,/wynton/home/sali/mhancock/xray/dev/29_synthetic_native_3/data/cifs/7mhf_30/9/0.cif,,,
10,1.0,2.0,0.25,0.3078754323173647,1.0,1877.711670977526,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/186_w_xray_bench_ref_10000/14/output_1/pdbs/239.pdb,/wynton/home/sali/mhancock/xray/dev/29_synthetic_native_3/data/cifs/7mhf_30/0/0.cif,0.3158182500600129,/wynton/home/sali/mhancock/xray/dev/29_synthetic_native_3/data/cifs/7mhf_30/0/1.cif,
11,1.0,2.0,0.5,0.2022407023944287,1.0,4552.074258183481,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/186_w_xray_bench_ref_10000/37/output_3/pdbs/285.pdb,/wynton/home/sali/mhancock/xray/dev/29_synthetic_native_3/data/cifs/7mhf_30/1/0.cif,0.2350614687427802,/wynton/home/sali/mhancock/xray/dev/29_synthetic_native_3/data/cifs/7mhf_30/1/1.cif,
