,r_free_7mhf,ff,pdb,xray_7mhf,w_0_7mhf,N,J,job_id,r_free_7mhg,xray_7mhg,w_0_7mhg,r_free_7mhh,xray_7mhh,w_0_7mhh,r_free_7mhi,xray_7mhi,w_0_7mhi,r_free_7mhj,xray_7mhj,w_0_7mhj,r_free_7mhk,xray_7mhk,w_0_7mhk,w_1_7mhf,w_1_7mhg,w_1_7mhh,w_1_7mhi,w_1_7mhj,w_1_7mhk,w_2_7mhf,w_3_7mhf,w_2_7mhg,w_3_7mhg,w_2_7mhh,w_3_7mhh,w_2_7mhi,w_3_7mhi,w_2_7mhj,w_3_7mhj,w_2_7mhk,w_3_7mhk,w_4_7mhf,w_5_7mhf,w_6_7mhf,w_7_7mhf,w_4_7mhg,w_5_7mhg,w_6_7mhg,w_7_7mhg,w_4_7mhh,w_5_7mhh,w_6_7mhh,w_7_7mhh,w_4_7mhi,w_5_7mhi,w_6_7mhi,w_7_7mhi,w_4_7mhj,w_5_7mhj,w_6_7mhj,w_7_7mhj,w_4_7mhk,w_5_7mhk,w_6_7mhk,w_7_7mhk,w_8_7mhf,w_9_7mhf,w_10_7mhf,w_11_7mhf,w_12_7mhf,w_13_7mhf,w_14_7mhf,w_15_7mhf,w_8_7mhg,w_9_7mhg,w_10_7mhg,w_11_7mhg,w_12_7mhg,w_13_7mhg,w_14_7mhg,w_15_7mhg,w_8_7mhh,w_9_7mhh,w_10_7mhh,w_11_7mhh,w_12_7mhh,w_13_7mhh,w_14_7mhh,w_15_7mhh,w_8_7mhi,w_9_7mhi,w_10_7mhi,w_11_7mhi,w_12_7mhi,w_13_7mhi,w_14_7mhi,w_15_7mhi,w_8_7mhj,w_9_7mhj,w_10_7mhj,w_11_7mhj,w_12_7mhj,w_13_7mhj,w_14_7mhj,w_15_7mhj,w_8_7mhk,w_9_7mhk,w_10_7mhk,w_11_7mhk,w_12_7mhk,w_13_7mhk,w_14_7mhk,w_15_7mhk
0,0.3175133196352573,551.7099041815754,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/189_exp_ref_10000/0/output_13/pdbs/8.pdb,5.62585243237837,1.0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,356.2726858971191,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/189_exp_ref_10000/1/output_2/pdbs/192.pdb,,,1,1,1,0.2975371058812519,5.526695969587056,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,910.272375540132,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/189_exp_ref_10000/2/output_0/pdbs/182.pdb,,,1,1,2,,,,0.3020923553876616,6.209399609800337,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,1039.8887894702775,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/189_exp_ref_10000/3/output_23/pdbs/65.pdb,,,1,1,3,,,,,,,0.2829674009127328,5.6965855062307735,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,442.5422016868729,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/189_exp_ref_10000/4/output_12/pdbs/217.pdb,,,1,1,4,,,,,,,,,,0.2969486316586748,5.847799763343841,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,466.2944630053869,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/189_exp_ref_10000/5/output_20/pdbs/279.pdb,,,1,1,5,,,,,,,,,,,,,0.3130035979070845,5.803036119205598,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.3091119194436368,910.5005956474868,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/189_exp_ref_10000/6/output_0/pdbs/218.pdb,5.628878770341615,1.0,1,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,875.3212949052536,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/189_exp_ref_10000/6/output_17/pdbs/194.pdb,,,1,2,6,0.2907450066383787,5.5314793497775225,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.3323280888414017,1071.6647843931005,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/189_exp_ref_10000/7/output_17/pdbs/182.pdb,5.692358209816242,1.0,1,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,948.9103944633756,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/189_exp_ref_10000/7/output_16/pdbs/214.pdb,,,1,2,7,,,,0.3003054111102139,6.2578728231104535,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.3418530238008889,959.9171493382472,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/189_exp_ref_10000/8/output_15/pdbs/249.pdb,5.697701281044051,1.0,1,2,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,537.3040784479072,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/189_exp_ref_10000/8/output_5/pdbs/151.pdb,,,1,2,8,,,,,,,0.2991949679535272,5.782455663933849,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.3357166717643747,461.9048075992098,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/189_exp_ref_10000/9/output_21/pdbs/5.pdb,5.708850454981569,1.0,1,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,999.6051839836732,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/189_exp_ref_10000/9/output_21/pdbs/275.pdb,,,1,2,9,,,,,,,,,,0.3196075830640294,5.900855214141184,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.3282464191771344,990.33583295043,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/189_exp_ref_10000/10/output_11/pdbs/117.pdb,5.676036096347835,1.0,1,2,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,981.5769968584572,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/189_exp_ref_10000/10/output_4/pdbs/206.pdb,,,1,2,10,,,,,,,,,,,,,0.3062905934116803,5.818297252821317,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,519.0039535492674,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/189_exp_ref_10000/11/output_5/pdbs/87.pdb,,,1,2,11,0.3098740156989026,5.591380924922163,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,979.4084578947802,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/189_exp_ref_10000/11/output_6/pdbs/294.pdb,,,1,2,11,,,,0.2946884826916875,6.242131691153305,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,756.9024504021606,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/189_exp_ref_10000/12/output_7/pdbs/114.pdb,,,1,2,12,0.3092954732366716,5.610151440011539,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,792.3659133822148,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/189_exp_ref_10000/12/output_8/pdbs/214.pdb,,,1,2,12,,,,,,,0.290145379404335,5.774444271131167,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,989.5059974748142,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/189_exp_ref_10000/13/output_19/pdbs/218.pdb,,,1,2,13,0.3068155235528558,5.594497927526374,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,957.2934195448016,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/189_exp_ref_10000/13/output_20/pdbs/286.pdb,,,1,2,13,,,,,,,,,,0.3112211420119743,5.880855974221484,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,1016.4481171420746,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/189_exp_ref_10000/14/output_16/pdbs/262.pdb,,,1,2,14,0.2988026629374175,5.560199976828282,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,555.5243086338367,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/189_exp_ref_10000/14/output_6/pdbs/183.pdb,,,1,2,14,,,,,,,,,,,,,0.2929953558434339,5.798375189147085,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,1567.8568719933671,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/189_exp_ref_10000/15/output_23/pdbs/72.pdb,,,1,2,15,,,,0.2693484777220158,6.110921378993112,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,906.3725926693372,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/189_exp_ref_10000/15/output_7/pdbs/244.pdb,,,1,2,15,,,,,,,0.2491931275156325,5.684559253770246,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,559.9094849216895,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/189_exp_ref_10000/16/output_22/pdbs/175.pdb,,,1,2,16,,,,0.270370019047805,6.172101278259374,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,1067.9474364567443,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/189_exp_ref_10000/16/output_20/pdbs/292.pdb,,,1,2,16,,,,,,,,,,0.2654829034155377,5.803712234595106,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,837.0102002807942,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/189_exp_ref_10000/17/output_2/pdbs/230.pdb,,,1,2,17,,,,0.2784563524576454,6.176227615645953,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,506.0685755533714,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/189_exp_ref_10000/17/output_17/pdbs/128.pdb,,,1,2,17,,,,,,,,,,,,,0.2757944947594011,5.78034338040853,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,577.1069559749519,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/189_exp_ref_10000/18/output_10/pdbs/203.pdb,,,1,2,18,,,,,,,0.2584772854241741,5.702011337863932,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,930.1821417979686,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/189_exp_ref_10000/18/output_24/pdbs/74.pdb,,,1,2,18,,,,,,,,,,0.2684022508172813,5.799226582714912,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,871.8062557576691,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/189_exp_ref_10000/19/output_10/pdbs/139.pdb,,,1,2,19,,,,,,,0.2653174735169147,5.713030078588839,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,953.5163889112412,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/189_exp_ref_10000/19/output_12/pdbs/134.pdb,,,1,2,19,,,,,,,,,,,,,0.2764865941794008,5.759587740674008,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,1010.1706406936116,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/189_exp_ref_10000/20/output_17/pdbs/27.pdb,,,1,2,20,,,,,,,,,,0.2827260814098297,5.833183548366773,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,973.6729943777816,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/189_exp_ref_10000/20/output_5/pdbs/153.pdb,,,1,2,20,,,,,,,,,,,,,0.2872819308382755,5.778337118872386,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,0.3123660799430138,1051.175715036488,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/189_exp_ref_10000/21/output_12/pdbs/112.pdb,5.645019359287671,1.0,1,3,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,583.9243118789686,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/189_exp_ref_10000/21/output_11/pdbs/115.pdb,,,1,3,21,0.2906643601686314,5.5455507338177705,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
