,N,J,w_xray,r_free,w_0_7mhl,r_work_7mhl,ff,pdb,cif_0
0,1.0,1.0,0.03125,0.3078281543681511,1.0,0.3169292552009182,-208.358728606235,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/197_loop/0/output_4/pdbs/247.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif
1,1.0,1.0,0.0625,0.3079988167494468,1.0,0.3181394945436013,-129.78017857015288,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/197_loop/1/output_6/pdbs/193.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif
2,1.0,1.0,0.125,0.3079268201784687,1.0,0.3171024882854397,-217.82287312285555,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/197_loop/2/output_8/pdbs/400.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif
3,1.0,1.0,0.25,0.3093476484224962,1.0,0.3165542848263116,-158.8536774505519,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/197_loop/3/output_3/pdbs/351.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif
4,1.0,1.0,0.5,0.3078896600839062,1.0,0.3158913006693385,-175.9948829649993,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/197_loop/4/output_8/pdbs/472.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif
5,1.0,1.0,1.0,0.3084775600291808,1.0,0.3157961825069258,-204.70785638991788,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/197_loop/5/output_8/pdbs/537.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif
6,1.0,1.0,2.0,0.3078905930177987,1.0,0.3146606665151145,-153.85495146642506,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/197_loop/6/output_9/pdbs/470.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif
7,1.0,1.0,4.0,0.3098563337021538,1.0,0.3150210202330463,-189.5210262920382,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/197_loop/7/output_0/pdbs/389.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif
8,1.0,1.0,8.0,0.3128788472770867,1.0,0.3162659465028148,-256.5658837143387,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/197_loop/8/output_1/pdbs/3.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif
9,1.0,1.0,16.0,0.3132868054064957,1.0,0.3166820317897218,-243.898639165262,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/197_loop/9/output_9/pdbs/1.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif
10,1.0,1.0,32.0,0.3131421346800553,1.0,0.3143676579347637,10.918348248298344,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/197_loop/10/output_0/pdbs/9.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif
11,1.0,1.0,0.03125,0.1963455897094956,1.0,0.214566939111112,-222.25425733471863,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/197_loop/11/output_0/pdbs/197.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif
12,1.0,1.0,0.0625,0.1978502964981664,1.0,0.2156922233694618,-206.40427203148735,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/197_loop/12/output_2/pdbs/664.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif
13,1.0,1.0,0.125,0.2030743056397736,1.0,0.21153794098501,-225.2230811107752,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/197_loop/13/output_6/pdbs/854.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif
14,1.0,1.0,0.25,0.2004701348993885,1.0,0.2103840634892665,-232.84613001059188,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/197_loop/14/output_2/pdbs/820.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif
15,1.0,1.0,0.5,0.2020098510572119,1.0,0.2092998806961437,-220.9639020571401,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/197_loop/15/output_9/pdbs/966.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif
