,N,J,w_xray,r_free,w_0_7mhl,r_work_7mhl,ff,pdb,cif_0
0,1.0,1.0,0.03125,0.3168422870492786,1.0,0.3229019035593253,1052.335406314571,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/198_all/0/output_1/pdbs/1.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif
1,1.0,1.0,0.0625,0.3136211954126184,1.0,0.3201093993711272,1020.3969138469072,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/198_all/1/output_8/pdbs/1.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif
2,1.0,1.0,0.125,0.2996091833295564,1.0,0.300913368319944,1590.185050090828,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/198_all/2/output_8/pdbs/10.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif
3,1.0,1.0,0.25,0.2541976234051067,1.0,0.2602053693916447,1548.1771946031745,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/198_all/3/output_4/pdbs/233.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif
4,1.0,1.0,0.5,0.2457857889184657,1.0,0.2343860976052103,1600.0842391626766,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/198_all/4/output_5/pdbs/57.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif
5,1.0,1.0,1.0,0.2413642400143801,1.0,0.222258612429181,2792.821633761342,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/198_all/5/output_6/pdbs/21.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif
6,1.0,1.0,2.0,0.2503084771610626,1.0,0.2101250896556958,21852.72292821125,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/198_all/6/output_1/pdbs/8.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif
7,1.0,1.0,4.0,0.2474635906200662,1.0,0.2075527679165674,38088.17863902108,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/198_all/7/output_0/pdbs/44.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif
8,1.0,1.0,8.0,0.2550030242394032,1.0,0.2084356279498847,41855.52280642782,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/198_all/8/output_5/pdbs/12.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif
9,1.0,1.0,16.0,0.2568983831434571,1.0,0.2146739400336345,31659.11405729164,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/198_all/9/output_4/pdbs/5.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif
10,1.0,1.0,32.0,0.2565761201186379,1.0,0.2147913254188376,33768.949834731175,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/198_all/10/output_2/pdbs/5.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif
11,1.0,1.0,0.03125,0.2055273471099971,1.0,0.2183002901361033,1279.0923664932734,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/198_all/11/output_3/pdbs/2.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif
12,1.0,1.0,0.0625,0.2098493841639671,1.0,0.2128895571787124,1007.885966350537,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/198_all/12/output_8/pdbs/1.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif
13,1.0,1.0,0.125,0.2097321048478018,1.0,0.2107001274168346,1034.0833092461453,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/198_all/13/output_1/pdbs/1.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif
14,1.0,1.0,0.25,0.2089182039040987,1.0,0.2021052697879637,1088.761275373189,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/198_all/14/output_1/pdbs/1.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif
15,1.0,1.0,0.5,0.2124642232283083,1.0,0.1895283050818292,1299.946486624185,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/198_all/15/output_5/pdbs/1.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif
16,1.0,1.0,1.0,0.2153150618065211,1.0,0.1763143827421796,1842.7470822199923,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/198_all/16/output_6/pdbs/1.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif
17,1.0,1.0,2.0,0.2186003642412215,1.0,0.1642943956027066,3186.4462426557216,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/198_all/17/output_7/pdbs/1.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif
18,1.0,1.0,4.0,0.2226650132242638,1.0,0.1572301693622637,5690.00041966148,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/198_all/18/output_7/pdbs/1.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif
19,1.0,1.0,8.0,0.2165388510603451,1.0,0.0898703449351143,10251.5164799787,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/198_all/19/output_2/pdbs/25.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif
20,1.0,1.0,16.0,0.216078762146122,1.0,0.0894388142652934,28813.01164420888,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/198_all/20/output_4/pdbs/14.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif
21,1.0,1.0,32.0,0.2141476777055188,1.0,0.079960496446982,42659.501452847486,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/198_all/21/output_0/pdbs/21.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif
22,1.0,1.0,0.03125,0.3210585342645842,1.0,0.3306311206339589,8323.930568715572,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/198_all/22/output_1/pdbs/1.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif
23,1.0,1.0,0.0625,0.3248735045100862,1.0,0.3320930331621978,8027.358991607637,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/198_all/23/output_5/pdbs/1.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif
24,1.0,1.0,0.125,0.3242281147249021,1.0,0.3302322436265482,8329.244710104824,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/198_all/24/output_7/pdbs/1.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif
25,1.0,1.0,0.25,0.3204836792175311,1.0,0.3266761326942559,7771.84421981907,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/198_all/25/output_0/pdbs/1.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif
26,1.0,1.0,0.5,0.3152715164327412,1.0,0.3205681873012016,6982.724512175932,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/198_all/26/output_8/pdbs/1.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif
27,1.0,1.0,1.0,0.2557500861868767,1.0,0.2439635579401381,7098.1045749217765,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/198_all/27/output_6/pdbs/53.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif
28,1.0,1.0,2.0,0.2481445855611352,1.0,0.2139504342507849,13955.388144429144,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/198_all/28/output_5/pdbs/7.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif
29,1.0,1.0,4.0,0.2499093402295227,1.0,0.2124063722816162,26321.39849659466,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/198_all/29/output_2/pdbs/6.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif
30,1.0,1.0,8.0,0.2527599055260616,1.0,0.2077154314431524,42230.81292318679,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/198_all/30/output_7/pdbs/12.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif
31,1.0,1.0,16.0,0.2558304983399977,1.0,0.2104801302565866,41525.61200217677,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/198_all/31/output_8/pdbs/8.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif
32,1.0,1.0,32.0,0.2574694343135544,1.0,0.2147950411996595,34048.39935180662,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/198_all/32/output_1/pdbs/5.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif
