,N,J,w_xray,r_free,w_0_7mhl,r_work_7mhl,ff,pdb,cif_0
0,1.0,1.0,0.03125,0.527591425508561,1.0,0.5316751330408234,2934.0099883252105,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/199_refine/0/output_6/pdbs/26.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif
1,1.0,1.0,0.0625,0.5277806811248001,1.0,0.5320704799819729,2713.29897048786,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/199_refine/1/output_8/pdbs/69.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif
2,1.0,1.0,0.125,0.525149009167534,1.0,0.510888061179559,3006.263898119546,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/199_refine/2/output_1/pdbs/53.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif
3,1.0,1.0,0.25,0.5311121777297751,1.0,0.508367379549895,3206.861633044201,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/199_refine/3/output_7/pdbs/90.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif
4,1.0,1.0,0.5,0.5301203336812121,1.0,0.4579100271987433,4859.887809975734,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/199_refine/4/output_3/pdbs/122.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif
5,1.0,1.0,1.0,0.5393910198923101,1.0,0.4684239286160545,17524.85051983172,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/199_refine/5/output_1/pdbs/40.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif
6,1.0,1.0,2.0,0.5286707617472246,1.0,0.4164978102941333,1928010.2459598456,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/199_refine/6/output_7/pdbs/68.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif
7,1.0,1.0,4.0,0.5327064683372685,1.0,0.4279161470677537,2147551.405189936,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/199_refine/7/output_0/pdbs/41.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif
8,1.0,1.0,8.0,0.5252752574873547,1.0,0.4113218724980298,2991102.969306648,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/199_refine/8/output_4/pdbs/41.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif
9,1.0,1.0,16.0,0.5312602504206622,1.0,0.4271920825871945,2.686977975449853e+33,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/199_refine/9/output_5/pdbs/110.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif
10,1.0,1.0,32.0,0.525597400660429,1.0,0.4256755402738594,5.683547286914886e+32,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/199_refine/10/output_1/pdbs/119.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif
11,1.0,1.0,0.03125,0.4952762561652749,1.0,0.5152996333371347,2674.601707858212,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/199_refine/11/output_1/pdbs/45.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif
12,1.0,1.0,0.0625,0.4928223112885233,1.0,0.4976558146199148,2553.991198097748,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/199_refine/12/output_6/pdbs/96.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif
13,1.0,1.0,0.125,0.4624894943531688,1.0,0.4561411637366468,2604.0636353093832,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/199_refine/13/output_2/pdbs/112.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif
14,1.0,1.0,0.25,0.4419815030463912,1.0,0.4146061053402033,2973.623181691902,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/199_refine/14/output_1/pdbs/121.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif
15,1.0,1.0,0.5,0.4491300682304621,1.0,0.398029734194644,4474.42949294355,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/199_refine/15/output_3/pdbs/101.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif
16,1.0,1.0,1.0,0.5050368128580441,1.0,0.3841345250693331,36316.48576332784,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/199_refine/16/output_8/pdbs/113.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif
17,1.0,1.0,2.0,0.5138830533394708,1.0,0.4035024123202884,427972.2332342443,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/199_refine/17/output_8/pdbs/12.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif
18,1.0,1.0,4.0,0.5154674277951824,1.0,0.4081432397130174,2503635.847886235,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/199_refine/18/output_9/pdbs/66.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif
