,avg_rmsd_mean,all_traj_rmsd_mean
0,0.4731971164804996,1.4495020848626026
1,0.4396588624146582,0.7177420295290569
2,0.41707886379876913,0.6120111829447763
3,0.28749729579218375,0.5411519121601782
4,0.33362530501259796,0.4967680997754732
5,0.3279282960383261,0.46510544079591293
6,0.30952932698184593,0.43007894267183155
7,0.29253977906313094,0.40241189953646755
8,0.2616779846698524,0.3694832289296555
9,0.2511506657991297,0.3452024127908609
10,0.2047171099328184,0.3226517197481649
11,0.14132983143989403,0.2806558113885675
12,1167712.6976067955,19054257.98855948
13,1903525.3923670053,9794956.814980764
14,1376126.1574448857,3917237.729924356
15,1928330.4702724603,6515888.599483339
16,3777928.530423417,7802823.753284555
17,2101936.0262175524,5196817.813676977
18,3645250.646663596,6624809.948514962
19,3611201.7829180006,5895389.917604653
20,3279376.0306650237,6484603.371286565
21,3892162.684305323,10567608.655731378
22,5877789.875661444,34542046.42742823
23,3607829.505588826,7108326.578901531
24,2293985.2572267274,32829346.23083036
25,3173562.806004892,33884361.86434871
26,4384256.611732579,7398110.474572599
27,3145099.5021763486,4694028.765556214
28,4600063.563220965,6960720.689118451
29,6844075.895128633,11564406.707835604
30,3503061.7731651277,31806451.813010536
31,4370884.044871879,29798698.969595022
32,4202610.446285641,8247281.107981655
33,4970801.56967499,7238277.894497906
34,4702801.097102491,8086207.138218445
35,3025010.034194607,33185016.66838036
36,3064738.67250908,32033055.994695153
37,3718689.7788068373,32059612.650126815
38,6438498.283372781,33124924.51265308
39,6204164.848734744,32836028.277806208
40,5010519.060880294,8036717.823746294
41,3563374.9940151153,33119194.175685745
42,3958590.517536787,6975367.704508
43,7389890.843137593,31715881.697906956
44,4243283.926612927,29821671.747655254
45,8101337.829191917,30444011.670749906
46,9565937.806520853,30187327.762286372
47,8404520.140817573,31432469.440862447
48,10449950.742148358,34855439.0439546
49,16542897.672089422,34646157.671279326
50,12704115.368199784,36088363.49874416
51,16663869.270469513,37235553.83219238
52,16606553.880601872,36611089.645133846
53,11685709.82561439,34732416.67014659
54,23143653.799291324,35435776.66306201
55,17879911.528828535,35537069.661405385
56,16823831.641358938,35274784.3519911
57,15743026.782107452,32052329.475980744
58,15660517.180695238,30357521.476131048
59,16268245.927795121,9847240.953971894
60,19591436.687569972,31169984.431257002
61,16072306.588258406,15211222.918357423
62,34187645.57582344,34187645.57582344
63,31543786.20265173,31543786.20265173
64,0.4279357894029218,0.7674539915437563
65,31913206.191098932,34659591.0911007
66,,
67,,
68,,
69,,
