,N,J,w_xray,r_free,w_0_native_0,w_1_native_0,r_work_native_0,r_free_native_1,r_work_native_1,ff,pdb,cif_0,cif_1,w_0_native_1,w_1_native_1
0,2.0,2.0,1.0,0.1844375263286066,0.9,0.1,0.1725075133327298,0.1787229903498432,0.1701359491567845,3908.423102478589,/wynton/group/sali/mhancock/xray/sample_bench/out/263_sb_sa/0/output_8/pdbs/499.pdb,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_0.cif,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_1.cif,,
1,2.0,2.0,0.5,0.1826853550172271,0.9,0.1,0.1744152653179714,0.1829522672303916,0.170781511134566,2733.1722126647987,/wynton/group/sali/mhancock/xray/sample_bench/out/263_sb_sa/1/output_2/pdbs/499.pdb,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_0.cif,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_1.cif,,
2,2.0,2.0,0.25,0.1825567564986963,0.9,0.1,0.1743085410001368,0.1819756786774484,0.1709281998041625,2008.279664383352,/wynton/group/sali/mhancock/xray/sample_bench/out/263_sb_sa/2/output_1/pdbs/499.pdb,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_0.cif,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_1.cif,,
3,2.0,2.0,0.125,0.160594983022366,0.9,0.1,0.1532807573527565,0.1626899862199785,0.153179158756263,2467.315011044494,/wynton/group/sali/mhancock/xray/sample_bench/out/263_sb_sa/3/output_0/pdbs/499.pdb,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_0.cif,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_1.cif,,
4,2.0,2.0,0.0625,0.1605944766675959,0.9,0.1,0.1511912079804608,0.1656677045719226,0.1609666107953103,3036.3537821218256,/wynton/group/sali/mhancock/xray/sample_bench/out/263_sb_sa/4/output_5/pdbs/499.pdb,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_0.cif,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_1.cif,,
5,2.0,2.0,0.03125,0.2971736474964939,0.9,0.1,0.2834052195557634,0.2926387865146423,0.2752077063236134,6922.86015155591,/wynton/group/sali/mhancock/xray/sample_bench/out/263_sb_sa/5/output_7/pdbs/499.pdb,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_0.cif,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_1.cif,,
6,2.0,1.0,1.0,0.1922334289248758,0.9,0.1,0.1724487597651236,,,9094.893531832742,/wynton/group/sali/mhancock/xray/sample_bench/out/263_sb_sa/6/output_4/pdbs/499.pdb,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_0.cif,,,
7,2.0,1.0,0.5,0.1953078175974909,0.9,0.1,0.1813456341504801,,,7766.830690059778,/wynton/group/sali/mhancock/xray/sample_bench/out/263_sb_sa/7/output_9/pdbs/499.pdb,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_0.cif,,,
8,2.0,1.0,0.25,0.2074635086247202,0.9,0.1,0.186684683636249,,,7657.917882108141,/wynton/group/sali/mhancock/xray/sample_bench/out/263_sb_sa/8/output_2/pdbs/499.pdb,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_0.cif,,,
9,2.0,1.0,0.125,0.2236992648540189,0.9,0.1,0.2058758862225442,,,8188.580448973275,/wynton/group/sali/mhancock/xray/sample_bench/out/263_sb_sa/9/output_1/pdbs/499.pdb,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_0.cif,,,
10,2.0,1.0,0.0625,0.2289002182022896,0.9,0.1,0.2069335333238018,,,9970.404721399082,/wynton/group/sali/mhancock/xray/sample_bench/out/263_sb_sa/10/output_9/pdbs/499.pdb,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_0.cif,,,
11,2.0,1.0,0.03125,0.2416930812782006,0.9,0.1,0.2215066528064142,,,9693.065765367362,/wynton/group/sali/mhancock/xray/sample_bench/out/263_sb_sa/11/output_5/pdbs/499.pdb,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_0.cif,,,
12,2.0,1.0,1.0,0.1839042915109739,,,,,0.1650251142231392,9918.455280687036,/wynton/group/sali/mhancock/xray/sample_bench/out/263_sb_sa/12/output_6/pdbs/499.pdb,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_1.cif,,0.1,0.9
13,2.0,1.0,0.5,0.1863488597121926,,,,,0.1787256948720181,7579.332554881579,/wynton/group/sali/mhancock/xray/sample_bench/out/263_sb_sa/13/output_9/pdbs/499.pdb,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_1.cif,,0.1,0.9
14,2.0,1.0,0.25,0.1904931039613195,,,,,0.1740084279508527,6445.322235330185,/wynton/group/sali/mhancock/xray/sample_bench/out/263_sb_sa/14/output_3/pdbs/499.pdb,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_1.cif,,0.1,0.9
15,2.0,1.0,0.125,0.2230607275989437,,,,,0.2078808317940668,6595.575504262836,/wynton/group/sali/mhancock/xray/sample_bench/out/263_sb_sa/15/output_8/pdbs/499.pdb,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_1.cif,,0.1,0.9
16,2.0,1.0,0.0625,0.2190484517804453,,,,,0.2039292172581688,9974.207425932324,/wynton/group/sali/mhancock/xray/sample_bench/out/263_sb_sa/16/output_3/pdbs/499.pdb,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_1.cif,,0.1,0.9
17,2.0,1.0,0.03125,0.2375328792219448,,,,,0.2246842736445084,10043.6838776092,/wynton/group/sali/mhancock/xray/sample_bench/out/263_sb_sa/17/output_2/pdbs/499.pdb,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_1.cif,,0.1,0.9
18,2.0,2.0,1.0,0.1707710336478788,0.9,0.1,0.158381416613415,0.172936285330667,0.1539275879950511,9160.730099532027,/wynton/group/sali/mhancock/xray/sample_bench/out/263_sb_sa/18/output_0/pdbs/499.pdb,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_0.cif,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_1.cif,,
19,2.0,2.0,0.5,0.1629330981653673,0.9,0.1,0.1562104592590593,0.1766532120027091,0.1651902112452093,5307.828239443059,/wynton/group/sali/mhancock/xray/sample_bench/out/263_sb_sa/19/output_2/pdbs/499.pdb,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_0.cif,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_1.cif,,
20,2.0,2.0,0.25,0.1195629794928346,0.9,0.1,0.1124952964313859,0.1524514160434956,0.1462242539545857,5402.790921794529,/wynton/group/sali/mhancock/xray/sample_bench/out/263_sb_sa/20/output_5/pdbs/499.pdb,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_0.cif,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_1.cif,,
21,2.0,2.0,0.125,0.1580544676821705,0.9,0.1,0.144848044076367,0.1393244754217396,0.1311211796121889,6075.736514856774,/wynton/group/sali/mhancock/xray/sample_bench/out/263_sb_sa/21/output_0/pdbs/499.pdb,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_0.cif,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_1.cif,,
