,N,J,w_xray,r_free_native_0,r_work_native_0,xray_native_0,rmsd_native_0,r_free_native_1,r_work_native_1,xray_native_1,rmsd_native_1,ff,pdb,w_0_native_0,w_0_native_1,w_1_native_0,w_1_native_1,cif_0,cif_1
0,2.0,2.0,1.0,0.1846654283480857,0.1692681195301278,4.165872917818122,0.0425985809509974,0.1873632182025358,0.1757607264697294,4.198298696763795,0.1028595960719175,4137.586925543333,/wynton/group/sali/mhancock/xray/sample_bench/out/265_no_w_ref/0/output_18/pdbs/499.pdb,0.1615205907106383,0.9731879020904342,0.8384794092893616,0.0268120979095658,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_0.cif,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_1.cif
1,2.0,2.0,0.5,0.1782791923365141,0.1742829578153159,4.226555892116149,0.1092344006790533,0.1794633350689865,0.1787713389910297,4.2427444356788,0.0828785549526348,1034.711385003931,/wynton/group/sali/mhancock/xray/sample_bench/out/265_no_w_ref/1/output_18/pdbs/499.pdb,0.3968758555175755,0.7938614747988515,0.6031241444824246,0.2061385252011485,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_0.cif,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_1.cif
2,2.0,2.0,0.25,0.1823216983806911,0.1727760521674997,4.204049000045712,0.0514404410244445,0.1913419512469463,0.1908819570555364,4.3430086004194886,0.1031702028554698,940.9249041254868,/wynton/group/sali/mhancock/xray/sample_bench/out/265_no_w_ref/2/output_8/pdbs/499.pdb,0.9363862474862812,0.506281903501309,0.0636137525137187,0.493718096498691,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_0.cif,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_1.cif
3,2.0,2.0,0.125,0.1609641795541221,0.1528496861275874,4.0839837183488825,0.0386101213539992,0.1686979032935292,0.1634928250293221,4.179354206171347,0.07542376564744,923.4402436769824,/wynton/group/sali/mhancock/xray/sample_bench/out/265_no_w_ref/3/output_7/pdbs/499.pdb,0.908469478073306,0.378182509777143,0.0915305219266939,0.621817490222857,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_0.cif,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_1.cif
4,2.0,2.0,0.0625,0.1613687662893854,0.1548630891197857,4.123634941710503,0.1807993483566587,0.1662653607631758,0.1643353474533253,4.17360573268073,0.1627075550934482,3409.2867217342136,/wynton/group/sali/mhancock/xray/sample_bench/out/265_no_w_ref/4/output_13/pdbs/499.pdb,0.2321151362552117,0.9283382522848947,0.7678848637447883,0.0716617477151053,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_0.cif,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_1.cif
5,2.0,2.0,0.03125,0.2360390340601416,0.2283617416763983,4.428656784230796,0.2099073241362452,0.2793468413563875,0.2681028376503065,4.620124491281239,0.1821920839733195,2520.228035761545,/wynton/group/sali/mhancock/xray/sample_bench/out/265_no_w_ref/5/output_12/pdbs/499.pdb,0.899470987190735,0.3545732364936714,0.100529012809265,0.6454267635063285,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_0.cif,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_1.cif
6,2.0,1.0,1.0,0.1733424812604211,0.1530560689754821,4.011946200104036,0.0931105157956747,,,,,8860.302650031517,/wynton/group/sali/mhancock/xray/sample_bench/out/265_no_w_ref/6/output_9/pdbs/499.pdb,0.5669247362723199,,0.4330752637276802,,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_0.cif,
7,2.0,1.0,0.5,0.1651200264742316,0.1489881125021741,3.995429990632798,0.0826923512883972,,,,,6728.710204439671,/wynton/group/sali/mhancock/xray/sample_bench/out/265_no_w_ref/7/output_8/pdbs/499.pdb,0.3871290940406166,,0.6128709059593834,,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_0.cif,
8,2.0,1.0,0.25,0.1576130786162481,0.1422208783778611,3.971880450859868,0.0454614210784223,,,,,6993.790014957716,/wynton/group/sali/mhancock/xray/sample_bench/out/265_no_w_ref/8/output_8/pdbs/499.pdb,0.3662368797400738,,0.6337631202599262,,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_0.cif,
9,2.0,1.0,0.125,0.1500735739138883,0.1392859237605946,3.949210917856171,0.0443826302309485,,,,,7196.223535594362,/wynton/group/sali/mhancock/xray/sample_bench/out/265_no_w_ref/9/output_15/pdbs/499.pdb,0.4173689603303535,,0.5826310396696465,,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_0.cif,
10,2.0,1.0,0.0625,0.1925494733543803,0.1714704558182679,4.180042395689932,0.0916198402844498,,,,,7784.004888655454,/wynton/group/sali/mhancock/xray/sample_bench/out/265_no_w_ref/10/output_9/pdbs/499.pdb,0.399726825073161,,0.6002731749268391,,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_0.cif,
11,2.0,1.0,0.03125,0.2569566014778057,0.2272083162199874,4.380948583731476,0.1510969440939229,,,,,11118.921739574922,/wynton/group/sali/mhancock/xray/sample_bench/out/265_no_w_ref/11/output_0/pdbs/499.pdb,0.993533143580005,,0.006466856419995,,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_0.cif,
