,n,xray_native_0+xray_native_1_mean,xray_native_0+xray_native_1_std,ff_mean,ff_std,rmsd_mean,rmsd_std,xray_native_0+xray_native_1_50,xray_native_0+xray_native_1_25,xray_native_0+xray_native_1_75,ff_50,ff_25,ff_75,rmsd_50,rmsd_25,rmsd_75
0,1,8.633476166826735,0.3394836285565674,5080.978741800898,2548.6478415286806,0.314263708071797,0.40154496837018894,8.722652337715706,8.422135729128666,8.894870160984919,4341.067461129389,3306.4949536405625,6212.56347265548,0.1527105322161106,0.1110934537655768,0.26998434436283203
1,2,8.459903196580566,0.3203858721020352,5305.6875214639695,2672.486628567525,0.16939861686751448,0.21071805681024577,8.508203698895628,8.212953226343362,8.72486903687582,4580.300548919062,3409.7592434453377,6382.467094116011,0.1237404497456194,0.09536165803535418,0.1653235879199048
2,3,8.34411779454816,0.3075599792874114,5836.0537525916825,3010.3339902934877,0.13060446125525776,0.11299575469136501,8.36003131488924,8.093926318029762,8.594206260626258,5173.690716731324,3669.563519139026,6946.634228866595,0.1133821746458966,0.086483462498468,0.14773905544966934
3,4,8.270397813253416,0.29507938184157556,6302.797850773864,3189.2846666518344,0.11896635859323451,0.07163423827960942,8.28066690007901,8.029067390988185,8.49743921738146,5610.4920557196,4013.084504566826,7632.26647525715,0.1106599333568021,0.08225355968445969,0.14061271581489923
4,5,8.211570979056448,0.28047708832256935,6653.684826604355,3347.5776437621466,0.11004629433074936,0.04880356258847976,8.191922173240407,7.987518973911843,8.426241618117306,5918.536738582489,4228.145012677983,7816.578489077664,0.1034997005634846,0.0765637853385783,0.1319089692257263
5,6,8.170480141647356,0.26336770935074055,6944.017302041232,3467.374415345316,0.10765836720194052,0.047600530598506934,8.155328219109037,7.961767447466876,8.363626775716629,6102.7772535429,4338.052372597209,8131.755849712022,0.10190325015289481,0.0719501350135622,0.130541362209848
6,7,8.130221025966653,0.24952715032895728,7226.642093551517,3510.2924601369727,0.10398227027151517,0.04466696139010303,8.1040857326967,7.954521610629746,8.298423457438574,6394.853428064045,4618.590481251976,8696.698111165082,0.0991102931002725,0.0668074121361226,0.12649247623804796
7,8,8.095039879917875,0.2329667713818187,7412.135789146571,3415.6641451626065,0.10032472530256634,0.04221649596847043,8.071316628103228,7.935859945645784,8.25723059664257,6589.874381002039,4939.7703962969335,8781.314430122655,0.0959257994459772,0.0652287657915056,0.1219677396494848
8,9,8.067356686962077,0.22437055555849783,7574.827199479387,3407.4479269751273,0.098783583402396,0.04156347067887592,8.033099510999866,7.897976754081474,8.215141708489863,6755.199566773151,5217.689257224725,9047.850433446209,0.0946802601025384,0.0630963323319689,0.1205967567683987
9,10,8.044593991975683,0.21425999040795815,7768.159830794353,3423.74453005114,0.09630185178350732,0.040892207575865126,8.024406505759325,7.885746641673807,8.187315451594726,6920.688759969394,5337.313921903327,9291.639531438772,0.0908381256641088,0.0611313666460449,0.118737188702872
10,11,8.03048677918606,0.20721423645383227,7879.300023948644,3427.9460345264115,0.09542121713934844,0.04036890662624137,8.00334938182749,7.874283969955782,8.158578130038368,6946.634228866595,5404.654872045477,9350.919130778157,0.090548747997954,0.0607259615159991,0.11855039229070517
11,12,8.015534620216483,0.20205307660713112,8050.94616645019,3499.035416591961,0.09529725536305791,0.040609699596705726,7.995303707625069,7.8691192638826335,8.147464188579487,7199.418744011423,5467.956325460801,10079.634223932777,0.0904663590835652,0.0607259615159991,0.11785850294140247
12,13,7.999447231835836,0.19638960247272183,8184.120912837481,3488.767755838875,0.09443405390856946,0.03992592340033032,7.986057912166704,7.859243032884617,8.125068755642236,7302.811372561224,5573.1525412743285,10244.441009079546,0.0904663590835652,0.0605039996056934,0.1164769279911149
13,14,7.984687747754651,0.1900683907810398,8385.203750257937,3511.03663270763,0.09296572979518394,0.03925807977467456,7.965029297098383,7.848760972155574,8.095437943354804,7623.328758329535,5958.11210171783,10362.688350912736,0.09043939909762785,0.0580869272572786,0.11622143200617441
14,15,7.975942083835563,0.18715607303019638,8492.135085088205,3519.3746573116314,0.09156838729111651,0.03854729968312926,7.961318473986109,7.842125461282009,8.091697947698346,7646.391478620508,5983.232844851707,10818.815269191902,0.0890833810295277,0.058020239627049,0.1147529190740676
15,16,7.96613350824315,0.1819752351434283,8593.389363995178,3534.6174544006662,0.09111520168543956,0.03856568055346225,7.957128283101098,7.839512757513384,8.07139077395188,7722.614975437585,6091.271190496187,10922.84669200763,0.086483462498468,0.0574863510803267,0.11431653241580347
16,17,7.954837003032773,0.1768147957093859,8681.548844235638,3533.09240469832,0.08992198970902585,0.037179815347187575,7.951862265586485,7.833650496510857,8.0673498742634,7730.4262763720835,6119.281280836412,11052.36644712208,0.085835086585074,0.0574834447985521,0.11418641220502385
17,18,7.947105747758401,0.17501397829451337,8778.798881484472,3533.3335345417213,0.08920185853204152,0.03740314220840538,7.948993432287941,7.812960341198806,8.058637373227786,7766.7152547025535,6277.566193666909,11164.014562549364,0.085835086585074,0.0574834447985521,0.11267699355664902
18,19,7.940861329973748,0.16974590202215475,8834.558654539434,3540.4969675316615,0.08851123090830414,0.036987202608517,7.941634613437188,7.803650224285391,8.036211105072804,7810.146116138064,6300.190010633845,11164.014562549364,0.0855736936924818,0.0569038099346667,0.1125883091458656
19,20,7.933475210787076,0.1655441119704792,8935.700094967504,3567.1993148153033,0.0886352473857824,0.036572362838734745,7.929639575152874,7.80141373999894,8.032057671297876,7815.884308303292,6300.190010633845,11230.53007475338,0.085835086585074,0.0569038099346667,0.1125883091458656
20,21,7.927271818958497,0.16234974527146082,9034.384920783867,3624.9629623086726,0.08795104206457524,0.036500363806546914,7.919223482246598,7.794704287139584,8.025496235169744,7863.785409463289,6361.89782324547,11230.53007475338,0.0857043901387779,0.0563675148276333,0.1125191824219229
21,22,7.920876781450096,0.1586589987611923,9093.95024891026,3611.4982599526415,0.08702465557264165,0.03556709780356989,7.899018021100976,7.794244707761496,8.025017315556056,8004.428384009947,6391.756844577037,11230.53007475338,0.0855736936924818,0.0563675148276333,0.111409501159501
22,23,7.914049099581363,0.15641646587422534,9197.66216696123,3660.8299842287,0.08715942671759036,0.036010970812194634,7.897976754081474,7.786280003511941,8.006568317196106,8305.713001187989,6394.853428064045,11742.398363349872,0.085835086585074,0.0558058026457863,0.111409501159501
23,24,7.909420724590696,0.1556614234898609,9288.472271560018,3674.945459879716,0.08696357283262857,0.03585368766802788,7.894343688780978,7.786280003511941,8.0020787971629,8517.023150799443,6422.1212274287245,11742.398363349872,0.085835086585074,0.055626919087784,0.111409501159501
24,25,7.903706340466869,0.15143809625507337,9399.785858638106,3685.8153041045825,0.08652504585353459,0.03520148949105781,7.885746641673807,7.785866143572637,7.995747977655055,8550.62518604041,6589.874381002039,11780.453191102535,0.085835086585074,0.055626919087784,0.1106599333568021
25,26,7.896926596537227,0.14886287063885575,9410.001377744526,3651.3461502692994,0.08585487873491714,0.03505785907573075,7.882873245532506,7.784624563754726,7.991167402740675,8587.720217726801,6589.874381002039,11780.453191102535,0.0855736936924818,0.0533527282395745,0.1106599333568021
26,27,7.890763754013201,0.14695055376193272,9445.242805184485,3624.0781829587513,0.08595653570189869,0.03516391579207685,7.874283969955782,7.784624563754726,7.985539639204814,8692.908409125308,6618.975558181786,11780.453191102535,0.085835086585074,0.053332394937319,0.1106599333568021
27,28,7.883878337980987,0.14193087448664682,9469.376094350422,3596.861611580597,0.08578907707386504,0.03548075415442269,7.8691192638826335,7.780939675701163,7.970192783544171,8750.60375928046,6618.975558181786,11780.453191102535,0.085835086585074,0.053332394937319,0.1106599333568021
28,29,7.877880609389018,0.13853858094325655,9570.693375713072,3599.569090248165,0.0849451798792853,0.03429860585975659,7.8691192638826335,7.780939675701163,7.961768824806365,8898.749396948377,6780.250005708611,11780.453191102535,0.0855130114258338,0.053332394937319,0.1106599333568021
29,30,7.874646248792357,0.13767067603931574,9605.167781736238,3583.765607769503,0.08502838300724351,0.03460235104382374,7.862961984914971,7.780939675701163,7.960869500505344,8973.299915197293,6788.600152020431,11780.453191102535,0.0855130114258338,0.0532462446869483,0.1106599333568021
30,31,7.8706968727443805,0.13571249139679098,9632.28486971938,3559.1101410375445,0.08444968680086803,0.0343343309312237,7.862961984914971,7.780939675701163,7.959318671412194,9047.850433446209,6788.600152020431,11780.453191102535,0.0854523291591858,0.0519678136759854,0.1106599333568021
31,32,7.867292901658937,0.13459907997759193,9666.192867733575,3541.387448638371,0.08419507455446303,0.034015851296599876,7.859243032884617,7.780939675701163,7.955838115008398,9047.850433446209,6898.705802894397,11780.453191102535,0.0854523291591858,0.0519678136759854,0.1106599333568021
32,33,7.862997348338467,0.1315871603114663,9688.528698968037,3554.1306708345132,0.08352180787608768,0.03336530014061841,7.849735188497722,7.780939675701163,7.951862265586485,9047.850433446209,6898.705802894397,11780.453191102535,0.0854523291591858,0.0519678136759854,0.1106599333568021
