,N,J,w_xray,xray_native_2_0+xray_native_2_1,rmsd,r_free_native_2_0,r_work_native_2_0,xray_native_2_0,r_free_native_2_1,r_work_native_2_1,xray_native_2_1,ff,pdb,w_0_native_2_0,w_0_native_2_1,w_1_native_2_0,w_1_native_2_1,cif_0,cif_1
0,2.0,2.0,1.0,8.018489151519494,,0.1786338729978817,0.1409710274774351,3.992707089361915,0.1677412806645012,0.146494873022331,4.025782062157579,14398.378744035936,/wynton/group/sali/mhancock/xray/sample_bench/out/272_correct_w_wxray_ref/0/output_43/pdbs/499.pdb,0.75,0.25,0.25,0.75,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_2_0.cif,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_2_1.cif
1,2.0,2.0,0.5,8.004741870249747,,0.1901429257601088,0.1461476673039774,4.009134492592556,0.1613303539364153,0.1445436330187529,3.995607377657192,9249.636080082995,/wynton/group/sali/mhancock/xray/sample_bench/out/272_correct_w_wxray_ref/1/output_50/pdbs/429.pdb,0.75,0.25,0.25,0.75,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_2_0.cif,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_2_1.cif
2,2.0,2.0,0.25,7.920566813801035,,0.1835098290787943,0.139073661003119,3.976457450868526,0.1515628380723646,0.1387660594330843,3.9441093629325095,15522.889638704068,/wynton/group/sali/mhancock/xray/sample_bench/out/272_correct_w_wxray_ref/2/output_19/pdbs/499.pdb,0.75,0.25,0.25,0.75,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_2_0.cif,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_2_1.cif
3,2.0,2.0,0.125,7.975008981057527,,0.1868812674822825,0.14097469274034,3.9715931107796,0.1627976537650287,0.1464002791813056,4.003415870277927,16147.342757812856,/wynton/group/sali/mhancock/xray/sample_bench/out/272_correct_w_wxray_ref/3/output_90/pdbs/499.pdb,0.75,0.25,0.25,0.75,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_2_0.cif,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_2_1.cif
4,2.0,2.0,0.0625,7.972055266192729,,0.1798419199016457,0.1432407035502625,4.003964831299204,0.1513575580430924,0.1404183751292164,3.968090434893525,12410.998958507827,/wynton/group/sali/mhancock/xray/sample_bench/out/272_correct_w_wxray_ref/4/output_0/pdbs/499.pdb,0.75,0.25,0.25,0.75,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_2_0.cif,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_2_1.cif
5,2.0,2.0,0.03125,8.02356837469087,,0.1872874290691334,0.1501786401774673,4.02408472992783,0.1653323737569995,0.1475256812880839,3.999483644763039,14975.022178071233,/wynton/group/sali/mhancock/xray/sample_bench/out/272_correct_w_wxray_ref/5/output_59/pdbs/499.pdb,0.75,0.25,0.25,0.75,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_2_0.cif,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_2_1.cif
6,2.0,1.0,1.0,,,0.2164145174760134,0.1387900837362083,3.9680181505327385,,,,23147.09857938168,/wynton/group/sali/mhancock/xray/sample_bench/out/272_correct_w_wxray_ref/6/output_71/pdbs/499.pdb,0.75,,0.25,,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_2_0.cif,
7,2.0,1.0,0.5,,,0.1954898357334913,0.1361677734587212,3.945448640030037,,,,12928.299636076708,/wynton/group/sali/mhancock/xray/sample_bench/out/272_correct_w_wxray_ref/7/output_64/pdbs/499.pdb,0.75,,0.25,,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_2_0.cif,
8,2.0,1.0,0.25,,,0.2073364776464762,0.1361259715650808,3.95681872430676,,,,21223.548431179308,/wynton/group/sali/mhancock/xray/sample_bench/out/272_correct_w_wxray_ref/8/output_12/pdbs/499.pdb,0.75,,0.25,,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_2_0.cif,
9,2.0,1.0,0.125,,,0.1840260380082059,0.1314231392210447,3.919879099751241,,,,22083.41298079681,/wynton/group/sali/mhancock/xray/sample_bench/out/272_correct_w_wxray_ref/9/output_73/pdbs/499.pdb,0.75,,0.25,,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_2_0.cif,
