,n,xray_native_5_0+xray_native_5_1_mean,xray_native_5_0+xray_native_5_1_std,ff_mean,ff_std,rmsd_mean,rmsd_std,xray_native_5_0+xray_native_5_1_50,xray_native_5_0+xray_native_5_1_25,xray_native_5_0+xray_native_5_1_75,ff_50,ff_25,ff_75,rmsd_50,rmsd_25,rmsd_75
0,1,9.574126301020787,0.33484069800842053,20233.60410287102,5266.6941905724025,,,9.586044685063962,9.340427361442849,9.821588863266658,19138.712528990014,16438.014119685435,23051.614884861687,,,
1,2,9.36708043297944,0.28453188078822345,19183.913168427513,5328.898849333941,,,9.387493147123735,9.162251096776714,9.570117407982476,18325.34556961553,15672.158502076938,21104.903349531236,,,
2,3,9.281339195188973,0.2551351940448019,18980.832765170402,5514.677747710278,,,9.274444584602984,9.089870101511972,9.465491464152503,17965.48570740046,15073.268045959308,21135.492432415034,,,
3,4,9.215374967210908,0.23640807255747126,18688.262984027097,5565.630142450456,,,9.206528803557863,9.037528066102537,9.396910348689987,17492.531823582907,14805.399904930437,21129.60630468101,,,
4,5,9.155780090837041,0.21482555392497826,18276.643995037113,5492.301719826804,,,9.152077967799912,8.98649531150152,9.294285175441678,16950.650289538473,14456.54655495174,20496.244337338867,,,
5,6,9.121611186251705,0.20346620704662333,17908.820532522866,5231.654868553714,,,9.12319693994892,8.963670726249294,9.248789563359722,16647.95024363774,14388.803798722187,20351.739796558497,,,
6,7,9.095196125655384,0.19736476042318607,17604.172639630702,4982.935765076286,,,9.089870101511972,8.946309805095005,9.22718371078739,16593.277429359925,14052.462992653178,19933.05984422847,,,
7,8,9.073734947763743,0.18866126358889335,17257.953109177906,4694.820174144967,,,9.06257141886338,8.939891267280876,9.201997794566925,16421.319520569465,13980.2832667743,19270.691801565416,,,
8,9,9.052057028275016,0.177838167149789,17132.455252208434,4623.693809289457,,,9.043094389130063,8.935162063859316,9.166651051182887,16398.181765651305,13980.2832667743,19090.48266734719,,,
9,10,9.031166598193812,0.16972703819020749,16922.48434252915,4402.0636386502765,,,9.018943647001418,8.932990657722685,9.148129760543355,16343.93093206971,13916.452655749345,18926.32963642185,,,
