,N,J,w_xray,r_free_7mhf,rmsd,r_work_7mhf,xray_7mhf,r_free_7mhg,r_work_7mhg,xray_7mhg,ff,pdb,w_0_7mhf,w_0_7mhg,w_1_7mhf,w_1_7mhg,cif_0,cif_1,r_free_7mhh,r_work_7mhh,xray_7mhh,w_0_7mhh,w_1_7mhh,r_free_7mhi,r_work_7mhi,xray_7mhi,w_0_7mhi,w_1_7mhi,r_free_7mhj,r_work_7mhj,xray_7mhj,w_0_7mhj,w_1_7mhj,r_free_7mhk,r_work_7mhk,xray_7mhk,w_0_7mhk,w_1_7mhk
0,2.0,2.0,0.5,0.3049611496954205,4.563692508579105,0.282354665483669,5.432729674329798,0.3399536034729329,0.2902351563081168,5.397585625335605,45630.80657403039,/wynton/group/sali/mhancock/xray/sample_bench/out/280_exp_all_2/0/output_739/pdbs/447.pdb,0.6694880572341019,0.4573989474288528,0.3305119427658982,0.5426010525711471,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhf.cif,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhg.cif,,,,,,,,,,,,,,,,,,,,
1,2.0,2.0,0.5,0.3198310548846648,0.6123473984140012,0.2894647114583989,5.3323336413757705,0.3188422224882766,0.2881119791708563,5.399982864711324,44486.22524137035,/wynton/group/sali/mhancock/xray/sample_bench/out/280_exp_all_2/0/output_668/pdbs/473.pdb,0.5536531481423381,0.8207105071182559,0.4463468518576619,0.1792894928817441,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhf.cif,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhg.cif,,,,,,,,,,,,,,,,,,,,
2,2.0,2.0,0.5,0.308837310257308,1.817899455989329,0.2733649770479801,5.444714017465977,,,,51116.543292312585,/wynton/group/sali/mhancock/xray/sample_bench/out/280_exp_all_2/1/output_304/pdbs/445.pdb,0.9770727076153888,,0.0229272923846112,,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhf.cif,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhh.cif,0.3914345075727254,0.3184002207560975,6.2620957621569815,0.0834714130878574,0.9165285869121426,,,,,,,,,,,,,,,
3,2.0,2.0,0.5,0.3509667611483952,1.3762605255626008,0.3072767391936929,5.514896822049777,,,,47361.84964398529,/wynton/group/sali/mhancock/xray/sample_bench/out/280_exp_all_2/1/output_513/pdbs/151.pdb,0.2047867668230889,,0.7952132331769111,,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhf.cif,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhh.cif,0.3202291253784298,0.2577991126349908,6.017352925554023,0.6070904309098344,0.3929095690901655,,,,,,,,,,,,,,,
4,2.0,2.0,0.5,0.3107327142541205,1.5983206464173865,0.2896238322545727,5.502252722642623,,,,47021.0213452808,/wynton/group/sali/mhancock/xray/sample_bench/out/280_exp_all_2/2/output_886/pdbs/273.pdb,0.0218748561235616,,0.9781251438764385,,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhf.cif,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhi.cif,,,,,,0.3687162794421446,0.290015328127095,5.667754424105208,0.8913711645967382,0.1086288354032617,,,,,,,,,,
5,2.0,2.0,0.5,0.358115645655209,9.956825269228917,0.3084880365703357,5.504353998675696,,,,45874.83034019644,/wynton/group/sali/mhancock/xray/sample_bench/out/280_exp_all_2/2/output_840/pdbs/471.pdb,0.3022103094421668,,0.6977896905578331,,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhf.cif,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhi.cif,,,,,,0.3071193021073659,0.2608617991346648,5.514519222524338,0.5730837253415407,0.4269162746584594,,,,,,,,,,
6,2.0,2.0,0.5,0.3121082708033397,1.812280245532265,0.2744793868748462,5.437039013987216,,,,51890.93551185436,/wynton/group/sali/mhancock/xray/sample_bench/out/280_exp_all_2/3/output_580/pdbs/458.pdb,0.9122028570387892,,0.0877971429612106,,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhf.cif,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhj.cif,,,,,,,,,,,0.4100528336456977,0.3251287104692424,5.882118442844926,0.0182189625964957,0.9817810374035044,,,,,
7,2.0,2.0,0.5,0.3444264591125676,2.021941180591917,0.3036120318468552,5.485023764490307,,,,47701.81283114362,/wynton/group/sali/mhancock/xray/sample_bench/out/280_exp_all_2/3/output_99/pdbs/226.pdb,0.741856851701245,,0.2581431482987549,,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhf.cif,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhj.cif,,,,,,,,,,,0.3144773309282062,0.2616754936348726,5.624389449345986,0.4240622244160026,0.5759377755839974,,,,,
8,2.0,2.0,0.5,0.3134359219084006,3.649855456392826,0.2896142187537552,5.488373080506033,,,,46536.57881676692,/wynton/group/sali/mhancock/xray/sample_bench/out/280_exp_all_2/4/output_268/pdbs/475.pdb,0.0749011834351082,,0.9250988165648916,,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhf.cif,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhk.cif,,,,,,,,,,,,,,,,0.3684008012037464,0.2877527434850794,5.673842441930984,0.7552116158721157,0.2447883841278842
9,2.0,2.0,0.5,0.3574877479081751,1.396121605846742,0.310911979955507,5.569108575806622,,,,47517.05914690335,/wynton/group/sali/mhancock/xray/sample_bench/out/280_exp_all_2/4/output_296/pdbs/143.pdb,0.0029516999147245,,0.9970483000852756,,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhf.cif,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhk.cif,,,,,,,,,,,,,,,,0.3122364171761735,0.268932372322531,5.5433558055783125,0.482760643936153,0.5172393560638471
