,init_pdbs,N,ref_N,J,cif_0,ref_pdbs,cif_1,ref_0_0,ref_1_0,ref_0_1,ref_1_1,w_xray,xray_freq,weight_thermo,vel_thermo,refine,sample_sched_str,init_0_0,init_1_0,init_0_1,init_1_1
0,/wynton/home/sali/mhancock/xray/data/pdbs/3k0m/3k0m_clean.pdb,2,2,2,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_0.cif,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/pdbs/native.pdb,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_1.cif,0.9,0.1,0.1,0.9,1,1,0,1,0,"s5000,t1000,dA,p1,w0,r0",0.9,0.1,0.1,0.9
1,/wynton/home/sali/mhancock/xray/data/pdbs/3k0m/3k0m_clean.pdb,2,2,2,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_0.cif,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/pdbs/native.pdb,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_1.cif,0.9,0.1,0.1,0.9,0.5,1,0,1,0,"s5000,t1000,dA,p1,w0,r0",0.9,0.1,0.1,0.9
2,/wynton/home/sali/mhancock/xray/data/pdbs/3k0m/3k0m_clean.pdb,2,2,2,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_0.cif,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/pdbs/native.pdb,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_1.cif,0.9,0.1,0.1,0.9,0.25,1,0,1,0,"s5000,t1000,dA,p1,w0,r0",0.9,0.1,0.1,0.9
3,/wynton/home/sali/mhancock/xray/data/pdbs/3k0m/3k0m_clean.pdb,2,2,2,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_0.cif,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/pdbs/native.pdb,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_1.cif,0.9,0.1,0.1,0.9,0.125,1,0,1,0,"s5000,t1000,dA,p1,w0,r0",0.9,0.1,0.1,0.9
4,/wynton/home/sali/mhancock/xray/data/pdbs/3k0m/3k0m_clean.pdb,2,2,2,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_0.cif,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/pdbs/native.pdb,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_1.cif,0.9,0.1,0.1,0.9,0.0625,1,0,1,0,"s5000,t1000,dA,p1,w0,r0",0.9,0.1,0.1,0.9
5,/wynton/home/sali/mhancock/xray/data/pdbs/3k0m/3k0m_clean.pdb,2,2,2,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_0.cif,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/pdbs/native.pdb,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_1.cif,0.9,0.1,0.1,0.9,0.03125,1,0,1,0,"s5000,t1000,dA,p1,w0,r0",0.9,0.1,0.1,0.9
6,/wynton/home/sali/mhancock/xray/data/pdbs/3k0m/3k0m_clean.pdb,2,2,1,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_0.cif,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/pdbs/native.pdb,,0.9,0.1,,,1,1,0,1,0,"s5000,t1000,dA,p1,w0,r0",0.9,0.1,,
7,/wynton/home/sali/mhancock/xray/data/pdbs/3k0m/3k0m_clean.pdb,2,2,1,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_0.cif,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/pdbs/native.pdb,,0.9,0.1,,,0.5,1,0,1,0,"s5000,t1000,dA,p1,w0,r0",0.9,0.1,,
8,/wynton/home/sali/mhancock/xray/data/pdbs/3k0m/3k0m_clean.pdb,2,2,1,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_0.cif,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/pdbs/native.pdb,,0.9,0.1,,,0.25,1,0,1,0,"s5000,t1000,dA,p1,w0,r0",0.9,0.1,,
9,/wynton/home/sali/mhancock/xray/data/pdbs/3k0m/3k0m_clean.pdb,2,2,1,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_0.cif,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/pdbs/native.pdb,,0.9,0.1,,,0.125,1,0,1,0,"s5000,t1000,dA,p1,w0,r0",0.9,0.1,,
10,/wynton/home/sali/mhancock/xray/data/pdbs/3k0m/3k0m_clean.pdb,2,2,1,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_0.cif,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/pdbs/native.pdb,,0.9,0.1,,,0.0625,1,0,1,0,"s5000,t1000,dA,p1,w0,r0",0.9,0.1,,
11,/wynton/home/sali/mhancock/xray/data/pdbs/3k0m/3k0m_clean.pdb,2,2,1,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_0.cif,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/pdbs/native.pdb,,0.9,0.1,,,0.03125,1,0,1,0,"s5000,t1000,dA,p1,w0,r0",0.9,0.1,,
12,/wynton/home/sali/mhancock/xray/data/pdbs/3k0m/3k0m_clean.pdb,2,2,1,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_1.cif,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/pdbs/native.pdb,,0.9,0.1,,,1,1,0,1,0,"s5000,t1000,dA,p1,w0,r0",0.9,0.1,,
13,/wynton/home/sali/mhancock/xray/data/pdbs/3k0m/3k0m_clean.pdb,2,2,1,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_1.cif,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/pdbs/native.pdb,,0.9,0.1,,,0.5,1,0,1,0,"s5000,t1000,dA,p1,w0,r0",0.9,0.1,,
14,/wynton/home/sali/mhancock/xray/data/pdbs/3k0m/3k0m_clean.pdb,2,2,1,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_1.cif,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/pdbs/native.pdb,,0.9,0.1,,,0.25,1,0,1,0,"s5000,t1000,dA,p1,w0,r0",0.9,0.1,,
15,/wynton/home/sali/mhancock/xray/data/pdbs/3k0m/3k0m_clean.pdb,2,2,1,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_1.cif,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/pdbs/native.pdb,,0.9,0.1,,,0.125,1,0,1,0,"s5000,t1000,dA,p1,w0,r0",0.9,0.1,,
16,/wynton/home/sali/mhancock/xray/data/pdbs/3k0m/3k0m_clean.pdb,2,2,1,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_1.cif,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/pdbs/native.pdb,,0.9,0.1,,,0.0625,1,0,1,0,"s5000,t1000,dA,p1,w0,r0",0.9,0.1,,
17,/wynton/home/sali/mhancock/xray/data/pdbs/3k0m/3k0m_clean.pdb,2,2,1,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_1.cif,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/pdbs/native.pdb,,0.9,0.1,,,0.03125,1,0,1,0,"s5000,t1000,dA,p1,w0,r0",0.9,0.1,,
18,/wynton/home/sali/mhancock/xray/data/pdbs/3k0m/3k0m_clean.pdb,2,2,2,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_0.cif,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/pdbs/native.pdb,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_1.cif,0.9,0.1,0.1,0.9,1,1,0,1,0,"s5000,t3000,dA,p1,w0,r0",0.9,0.1,0.1,0.9
19,/wynton/home/sali/mhancock/xray/data/pdbs/3k0m/3k0m_clean.pdb,2,2,2,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_0.cif,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/pdbs/native.pdb,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_1.cif,0.9,0.1,0.1,0.9,0.5,1,0,1,0,"s5000,t3000,dA,p1,w0,r0",0.9,0.1,0.1,0.9
20,/wynton/home/sali/mhancock/xray/data/pdbs/3k0m/3k0m_clean.pdb,2,2,2,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_0.cif,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/pdbs/native.pdb,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_1.cif,0.9,0.1,0.1,0.9,0.25,1,0,1,0,"s5000,t3000,dA,p1,w0,r0",0.9,0.1,0.1,0.9
21,/wynton/home/sali/mhancock/xray/data/pdbs/3k0m/3k0m_clean.pdb,2,2,2,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_0.cif,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/pdbs/native.pdb,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_1.cif,0.9,0.1,0.1,0.9,0.125,1,0,1,0,"s5000,t3000,dA,p1,w0,r0",0.9,0.1,0.1,0.9
22,/wynton/home/sali/mhancock/xray/data/pdbs/3k0m/3k0m_clean.pdb,2,2,2,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_0.cif,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/pdbs/native.pdb,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_1.cif,0.9,0.1,0.1,0.9,0.0625,1,0,1,0,"s5000,t3000,dA,p1,w0,r0",0.9,0.1,0.1,0.9
23,/wynton/home/sali/mhancock/xray/data/pdbs/3k0m/3k0m_clean.pdb,2,2,2,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_0.cif,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/pdbs/native.pdb,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_1.cif,0.9,0.1,0.1,0.9,0.03125,1,0,1,0,"s5000,t3000,dA,p1,w0,r0",0.9,0.1,0.1,0.9
24,/wynton/home/sali/mhancock/xray/data/pdbs/3k0m/3k0m_clean.pdb,2,2,1,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_0.cif,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/pdbs/native.pdb,,0.9,0.1,,,1,1,0,1,0,"s5000,t3000,dA,p1,w0,r0",0.9,0.1,,
25,/wynton/home/sali/mhancock/xray/data/pdbs/3k0m/3k0m_clean.pdb,2,2,1,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_0.cif,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/pdbs/native.pdb,,0.9,0.1,,,0.5,1,0,1,0,"s5000,t3000,dA,p1,w0,r0",0.9,0.1,,
26,/wynton/home/sali/mhancock/xray/data/pdbs/3k0m/3k0m_clean.pdb,2,2,1,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_0.cif,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/pdbs/native.pdb,,0.9,0.1,,,0.25,1,0,1,0,"s5000,t3000,dA,p1,w0,r0",0.9,0.1,,
27,/wynton/home/sali/mhancock/xray/data/pdbs/3k0m/3k0m_clean.pdb,2,2,1,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_0.cif,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/pdbs/native.pdb,,0.9,0.1,,,0.125,1,0,1,0,"s5000,t3000,dA,p1,w0,r0",0.9,0.1,,
28,/wynton/home/sali/mhancock/xray/data/pdbs/3k0m/3k0m_clean.pdb,2,2,1,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_0.cif,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/pdbs/native.pdb,,0.9,0.1,,,0.0625,1,0,1,0,"s5000,t3000,dA,p1,w0,r0",0.9,0.1,,
