,r_free,ff,pdb,w_0,cif_name,N,job_id,M,cifs,w_1,w_2,w_3,w_4,w_5,w_6,w_7,w_8,w_9,w_10,w_11,w_12,w_13,w_14,w_15
1,0.3147926526661405,862.2259404034617,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/181_wxray_control_ref_10000/1.pdb,1.0,7mhf,1,0,1,7mhf,,,,,,,,,,,,,,,
70,0.3179995986089264,817.147053853681,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/181_wxray_control_ref_10000/70.pdb,1.0,7mhf,1,0,2,7mhf,,,,,,,,,,,,,,,
112,0.3264738617787779,3085.5271260739246,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/181_wxray_control_ref_10000/112.pdb,1.0,7mhf,1,0,3,7mhf,,,,,,,,,,,,,,,
152,0.3299436778775029,3546.284195013084,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/181_wxray_control_ref_10000/152.pdb,1.0,7mhf,1,0,4,7mhf,,,,,,,,,,,,,,,
212,0.3294160382314988,3758.9262685180174,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/181_wxray_control_ref_10000/212.pdb,1.0,7mhf,1,0,5,7mhf,,,,,,,,,,,,,,,
255,0.3297731511713325,3976.159969697059,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/181_wxray_control_ref_10000/255.pdb,1.0,7mhf,1,0,6,7mhf,,,,,,,,,,,,,,,
307,0.2934622871717896,354.4244264481167,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/181_wxray_control_ref_10000/307.pdb,1.0,7mhg,1,1,1,7mhg,,,,,,,,,,,,,,,
368,0.2962344255589035,1227.4715800430956,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/181_wxray_control_ref_10000/368.pdb,1.0,7mhg,1,1,2,7mhg,,,,,,,,,,,,,,,
438,0.3104698722412459,4116.622137803095,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/181_wxray_control_ref_10000/438.pdb,1.0,7mhg,1,1,3,7mhg,,,,,,,,,,,,,,,
456,0.3111208112330819,3894.204732619083,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/181_wxray_control_ref_10000/456.pdb,1.0,7mhg,1,1,4,7mhg,,,,,,,,,,,,,,,
